nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
BASE GIRATORIA PLAST BLANCA COLORISMA,"Base giratoria plástica blanca colorisima, ideal para decorar mesas y banquetas, con diseño moderno y acabado brillante.",160.0,Herramientas,Bases giratorias,COLR0002,COLR0002,48101817,True,False,False
BASE GIRATORIA PLAST VERDE COLORISMA,"Base giratoria plastica verde, resistente y fácil de usar, ideal para cualquier festin o fiesta con tu familia y amigos.",160.0,Herramientas,Bases giratorias,COLR0003,COLR0003,48101817,True,False,False
BASE GIRATORIA ECO MX,"""Base giratoria eco amigable con el medio ambiente, fiable y resistente, ideal para cualquier decoración o evento.""",150.0,Herramientas,Bases giratorias,666661686520,666661686520,48101817,True,False,False
BASE GIRATORIA METAL 25CM MX,"Base giratoria metálica resistente con rodillos y ajuste fijo, ideal para bases de mesas y muebles temporales.",650.0,Herramientas,Bases giratorias,666661686300,666661686300,48101817,True,False,False
MARCADOR DE CONCHA 13.5CM,"Marcador de concha de alta calidad, perfecto para etiquetar y marcar objetos, disponible en 13,5cm de diámetro.",47.0,Herramientas,Marcadores,4-2888,7501553428882,52151905,True,False,False
MARCADOR PASTA ENREJADO GD,"Marcador pastelero enrejado GD, ideal para decorar y presentar tus creaciones culinarias con profesionalismo y elegancia.",119.0,Herramientas,Marcadores,4-2898,7501553428981,52151601,True,False,False
MARCADOR PLAST REBANADAS 10/12,"Marcadores plasticos rebabandas con tinta permanente, ideales para escribir en pizarras, carpetas y otros materiales.",180.0,Herramientas,Marcadores,TOL000981,4895217109976,52151600,True,False,False
RASPA 10X13.5CM,"""Raspa de alta calidad, 10x13,5cm, diseñada para raspar y limpiar superficies con facilidad y precisión.""",22.0,Herramientas,Raspa,4-2902,7501553429025,48101817,True,False,False
RASPA 11X15.5cm,"Raspa de alta calidad, diseñada para facilitar el trabajo en superficies duras y raspar con eficiencia y precisión.",40.0,Herramientas,Raspa,4-2903,7501553429032,48101817,True,False,False
RASPA 13X19cm,"Raspa para hornos, de 13x19cm, ideal para decorar panes y pasteles con una textura suave y uniforme.",45.0,Herramientas,Raspa,4-2904,7501553429049,48101817,True,False,False
JGO RASPA Y PEINE 2 PZ,"Raspa y peine de cocina alta, diseñado para facilitar la preparación perfecta de tus postres de raspa, 2 unidades.",35.0,Herramientas,Raspa,TOL00000086,4897080491196,48101817,True,False,False
RASPA ESQUINAS RECORTADAS 13.5X9.5 CM,"Raspa esquina recortada, perfecta para decorar y crear formas geométricas en pasteles y reposterías de manera fácil.",30.0,Herramientas,Raspa,4-2413,7501553424136,48101817,True,False,False
RASPA PLASTICO 15CM,"Raspa plástica de 15cm, ideal para disfrutar de tus delicias gelatinosas en casa con comodidad y seguridad.",25.0,Herramientas,Raspa,80-302,7501553803023,48101817,True,False,False
RASPA TRAPECIO 19-13CM,"Raspa trapecio resistente, fácil de limpiar y perfecta para eliminar grasa y suciedad en superficies duras.",45.0,Herramientas,Raspa,4-2253,7501553422538,48101817,True,False,False
PEINE DECOR PLAST CHERRY,"""Peine decorativo en plástico con forma de cereza, ideal para personalizar tu baño o escritorio de oficina.""",135.0,Herramientas,Peine,16017,16017,48101817,True,False,False
JGO RASPA PEINE 4PZ,"""Raspa instantánea de 4 piezas, fácil de usar y deliciosa, perfecta para cualquier ocasión, en una cuchara"".",50.0,Herramientas,Raspa,666661680383,666661680383,48101817,True,False,False
PEINE DECORA AINOX LISO/BLOQUE 7x22cm,"""Peine decorado Ainox con acabado liso/bloque, ideal para cabellos delicados, perfecto para maquillaje y estilos de peinado.""",118.0,Herramientas,Peine,TOL001062,4895217121008,48101817,True,False,False
PEINE DECORA AINOX PUNTAS 7x22cm,"Peine decorado con puntas de alinox, ideal para maquillaje y belleza.",118.0,Herramientas,Peine,TOL000699,4895217120735,48101817,True,False,False
PEINE DECORA AINOX HERRADURA 5x25cm,"Peine decorado con herradura ainox, diseño elegante y resistente, ideal para personalizar tu maquillaje o complementar tu estilo.",118.0,Herramientas,Peine,TOL000700,4895217120742,48101817,True,False,False
PEINE TRIANGULAR 10X11CM,"Peine triangular de calidad, perfecto para teñir y peinar cabello, con madera natural y acabado suave.",22.0,Herramientas,Peine,4-2909,7501553429094,48101817,True,False,False
JGO RASPA PEINE PLAST 8x13cm,"Raspa de plástico de alta calidad, resistente y fácil de limpiar para raspar frutas y verduras con precisión.",45.0,Herramientas,Raspa,TOL000930,4895217107620,48101817,True,False,False
"PEINE DECORATIVO PLAST ""ZIG-ZAG"" 25.5 cm","Peine decorativo plástico ""Zig-Zag"" de 25,5 cm, ideal para agregar un toque divertido a tu peinado.",50.0,Herramientas,Peine,TOL001037,4895217112242,48101817,True,False,False
PEINE DECORATIVO PLAST 25.5x8 cm,"Peine decorativo plástico de 25,5x8 cm, perfecto para adornar tu escritorio o mesa de trabajo con estilo y elegancia.",46.0,Herramientas,Peine,TOL001034,TOL001034,48101817,True,False,False
PEINE DECORATIVO PLAST GRECA 25.5x8 cm,"Peine decorativo grego de plástico, diseñado para agregar un toque clásico a tu peinado diario.",46.0,Herramientas,Peine,TOL001035,TOL001035,48101817,True,False,False
PEINE DECORATIVO MEDIO CIRCULO 25.5x8 cm,Peine decorativo circular mediano de 25.5cm de diámetro perfecto para agregar toque personalizado a tu cabello y estilo.,46.0,Herramientas,Peine,TOL001036,TOL001036,48101817,True,False,False
CAPACILLO JUMBO BLANCO 500PZ,"Capacillo jumbo blanco, delicioso y versátil para decorar y embalar con estilo, ideal para eventos y ocasiones especiales.",260.0,Capacillos,Papel,4-0900,7501553409003,52151907,True,False,False
CAPACILLO JUMBO BLANCO 90pz,"Capacillo jumbo blanco en papel, ideal para aderezar y decorar tus platos de repostería y eventos.",60.0,Capacillos,Papel,4-0901,7501553409002,52151907,True,False,False
CAPACILLOS MINI CAFE 100pz,"Mini capybaras de café personalizables, recortadas a medida y con 100 unidades por paquete perfectas para fiestas y eventos.",35.0,Capacillos,Papel,415-1867,70896318671,52151504,True,False,False
CAPACILLO MINI VARIOS MOD 50pz,"Mini capacillos variados de 50 unidades por caja, ideales para decorar y complementar tus eventos o fiestas.",35.0,Capacillos,Papel,BCP000343,4895217155157,52151504,True,False,False
CAPACILLO CHICO VARIOS MODELOS 50pz,"Papel para envolver reposterías en variedad de diseños, tamaño y color, ideal para pequeñas empresas y hogares.",35.0,Capacillos,Papel,BCP000300,4895217128946,52151504,True,False,False
CAPACILLO STD BALON FUTBOL 100pz,"Capacillos estandartes y balones futbol de papel para festivales, fiestas y actividades educativas en 100 piezas.",60.0,Capacillos,Papel,4-3181,7501553431813,52151907,True,False,False
CAPACILLO STD LOVE YOU & ME 100pz,"Capacillo con mensaje ""Love You & Me"" en un paquete atractivo, perfecto para regalos y sorpresas.",60.0,Capacillos,Papel,4-2732,7501553427328,52151907,True,False,False
CAPACILLO STD LOVE CORAZONES 100pz,"Corazones amarillos, dulces y fáciles de comer, perfectos para regalar o disfrutar en cualquier momento con tu familia o amigos.",60.0,Capacillos,Papel,4-3153,7501553431530,52151907,True,False,False
CAPACILLO STD I LOVE YOU C/CORAZON 100pz,"Capacillo de repostería con corazón, perfecto para regalar, decorar y disfrutar en cualquier ocasión especial con tu familia.",60.0,Capacillos,Papel,4-2315,7501553423153,52151907,True,False,False
CAPACILLO STD CORAZONES BORDADOS 100pz,"Capacillos estándar corazones bordados en papel, ideal para decoraciones y regalos, disponibles en paquetes de 100 unidades.",60.0,Capacillos,Papel,4-2733,7501553427335,52151907,True,False,False
CAPACILLO STD PALETA DE CORAZON 100pz,"Paleta de corazón de capacidad estándar, ideal para decoraciones y recortes, 100 unidades por pack.",60.0,Capacillos,Papel,4-3114,7501553431141,52151907,True,False,False
CAPACILLO STD CORAZON CONCENTRICO 100pz,"Capacillo estándar corazón concentrico, ideal para decoraciones y regalos, disponible en paquetes de 100 unidades.",60.0,Capacillos,Papel,4-3171,7501553431714,52151907,True,False,False
CAPACILLO STD CORAZONES HUELLA 100pz,"Capacillo estándar con corazones huella, ideal para decoraciones y regalos, 100 unidades por paquete.",60.0,Capacillos,Papel,4-3369,7501553431691,52151907,True,False,False
CAPACILLO STD CORAZON MORADO/ROS 50pz,"Delicioso corazón morado de capacillo, dulce y cremoso en papel esterilizado para conservación, perfecto para disfrutar en cualquier momento.",40.0,Capacillos,Papel,4-3116/50A R,7501553803795,52151907,True,False,False
CAPACILLO RUFFLED ROJO 24pz,"Capacillo rufiado rojo, dulce y jugoso, en bolsas de 24 unidades, perfecto para decorar tarta o postre.",54.0,Capacillos,Papel,415-1391,070896513915,52151907,True,False,False
CAPACILLO STD BEIGE 75pz,"Capacillo estándar beige, de alta calidad y resistente, ideal para decoraciones y proyectos de papel. (75 unidades por paquete)",35.0,Capacillos,Papel,415-1864,70896318640,52151907,True,False,False
CAPACILLO CORRUFACIL BLANCO NUM 72 500pz,"Capacillo corrufacil blanco, perfecto para limpiar superficies y eliminar manchas con facilidad y eficacia en un momento.",110.0,Capacillos,Papel,HGCAP72BCO,HGCAP72BCO,50181709,True,False,False
MOLDE PANETONE 15X14CM 25pz,"Molde de paneton de alta calidad, fácil de usar y compacto, ideal para repostería casera y profesional.",340.0,Capacillos,Papel,P0008,P0008,50181709,True,False,False
MOLDE PANETONE 15X14CM,"Molde de panetone 15x14cm, perfecto para hornear deliciosos panetones caseros y regalos especializados.",15.0,Capacillos,Papel,P0009,P0009,50181709,True,False,False
CAPACILLO STD TONOS NAVIDEÑOS 150pz,"Tontos navideños de capacillo, festivos y ligeros, perfectos para decorar tu mesa de Navidad con un toque personalizado.",250.0,Capacillos,Papel,415-5387,070896453877,52151900,True,False,False
JGO CAPACILLO MINI NAVIDAD 150PZ,"Mini navidad capacitlas para decorar, 150 unidades, perfectas para regalar y disfrutar en la temporada festiva.",150.0,Capacillos,Papel,191006485,070896320865,52151900,True,False,False
JGO CAPACILLOS STD SOLDADO CARAMELO 75pz,"Deliciosos caparazones soldados de caramello de alta calidad, perfectos para dulces festines y ocasiones especiales.",70.0,Capacillos,Papel,415-0-0376,70896093677,52151900,True,False,False
CAPACILLO STD BIGOTE-PIPA 100pz,"Capacillo estándar grande con papa y tomate en una bolsa de papel resistente, ideal para hornear.",60.0,Capacillos,Papel,4-2316,7501553423160,52151907,True,False,False
CAPACILLO STD CORBATA BIGOTE 100pz,"Capacillo estándar corbata bigote, 100 unidades por paquete, para uso diario en oficinas y eventos profesionales.",60.0,Capacillos,Papel,4-3151,7501553431516,52151907,True,False,False
CAPACILLO STD ONDULADO CORAZON 100 PZ,"Delicioso pastel ondulado con forma de corazón, perfecto para celebraciones especiales, disponible en paquete de 100 unidades.",54.0,Capacillos,Papel,4-2730,7501553427304,52151907,True,False,False
CAPACILLO STD CORAZON ROJO/ROSA/MORADO 100pz,"Capacillo estándar corazón rojo, rosa y morado de alta calidad para decoración y artesanías en papel.",54.0,Capacillos,Papel,4-3115,7501553431158,52151907,True,False,False
CAPACILLO MED ROJO 50pz,"Descubre el Capacillo Med Rojo, un dulce refrescante y jugoso en cada bocadito de 50 unidades por pack.",62.0,Capacillos,Papel,BCP000340,4895217155126,52151907,True,False,False
CAPACILLO STD COPOS MERRY CHRISTMAS100pz,"Descubre el regalo perfecto: Capacillo Std Copos Merry Christmas, una deliciosa combinación de capas de chocolate y caramelo.",60.0,Capacillos,Papel,3190,7501553431905,52151907,True,False,False
CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,"Muérdago capazillo estándar, perfecto para decorar y adornar cualquier evento o ocasión nocturna con un toque de lujo.",60.0,Capacillos,Papel,3158,7501553431585,52151907,True,False,False
CAPACILLO STD ESTRELLAS MERRY XMAS 100pz,"Decoraciones de estrellas en papel para Navidad, 100 unidades por paquete, perfectas para decorar tu hogar y fiestas.",60.0,Capacillos,Papel,BCP000365,4895217156734,52151907,True,False,False
CAPACILLO STD MUERDAGOS HOJAS 100pz,"Capacillo estándar, hojas individuales y recortables para decoraciones y festividades, 100 unidades por paquete.",60.0,Capacillos,Papel,3182,3182,52151907,True,False,False
CAPACILLO STD COPOS OCRE 100pz,"""Capacillo estándar de copos ocre, ideal para decoración y eventos, con un acabado suave y versátil.""",60.0,Capacillos,Papel,BCP000371,4895217156796,52151907,True,False,False
CAPACILLO STD COPOS GRISES 100pz,"Cachorros de papel con capa gruesa y textura suave, perfectos para decorar tu hogar en copia, 100 unidades por paquete.",60.0,Capacillos,Papel,BCP000373,4895217156819,52151907,True,False,False
CAPACILLO STD MUERDAGOS HOJAS 100pz,"""Capacillo estándar de muérdagos en hojas de papel para decoración, perfecto para fiestas y eventos infantiles"".",65.0,Capacillos,Papel,4-3187,7501553431875,52151907,True,False,False
CAPACILLO STD NOCHE BUENA MUERDAGO 100pz,"Muérdago fresco y delicioso, en capas de papel higiénico, perfecto para el morning-after con un toque dulce. 100pz.",65.0,Capacillos,Papel,4-3158,4-3158,52151907,True,False,False
CAPACILLO STD PINOS FDO VERDE 100pz,"Capacillo estándar de pino, falso verde, en papel de caja de 100 unidades.",65.0,Capacillos,Papel,4-3191,7501553431912,52151907,True,False,False
CAPACILLO CLASICO METALIZADO 40PZ,"Capacillo clásico metalizado, delicioso y versátil, perfecto para decorar tus comidas y aperitivos con estilo y sabor.",35.0,Capacillos,Papel,70896164480,70896164480,52151900,True,False,False
CAPACILLO STD TELARAÑA DORADA CON 24pz,"Delicioso capacillo con telaraña dorada, ideal para decorar y agregar sabor a tus bolas de fiesta o eventos temáticos.",125.0,Capacillos,Papel,070896138897,070896138897,52151900,True,False,False
CAPACILLO STD FANTASMA CON 75pz,"Capacillo Stand Fanta con 75pz, papel divertido y colorido para decorar partidos de fútbol y eventos.",70.0,Capacillos,Papel,070896372864,070896372864,52151900,True,False,False
CAPACILLO WALLOWEEN MICKEY,"Delicioso pastel de papel con Mickey en una versión Walloweena, perfecta para decorar y celebrar la noche de Brujas.",50.0,Capacillos,Papel,7504310265324,7504310265324,50181709,True,False,False
CAPACILLO DIA DE MUERTOS,"Decoración tradicional mexicana para el día de muertos, con papel colorido y decoraciones florales, perfecta para fiestas temáticas.",50.0,Capacillos,Papel,7504310460118,7504310460118,50181709,True,False,False
CAPACILLO STD NIÑO JENGIBRE 75pz,"Capacillo std niño jengibre, dulce y fibroso, para el bienestar digestivo, en formatos de papel fácil de transportar.",70.0,Capacillos,Papel,070896044815,070896044815,52151900,True,False,False
CAPACILLO MED PLATA  40pz,"Capacillo med plata de 40 unidades por paquete, ideal para decorar y crear elementos creativos en proyectos de papel.",55.0,Capacillos,Papel,HGCAP00298,HGCAP00298,52151907,True,False,False
CAPACILLO MED PLATA  40pz,"Capacillo med plata, 40 piezas, ideal para decorar y crear hermosas figuras de papel.",55.0,Capacillos,Papel,HGCAP00298,HGCAP00298,52151907,True,False,False
CAPACILLO STD ROSA METÁLICO 50pz,"Capacillos estándar rosa metálico en papel, ideal para decoraciones y festividades, disponible en 50 unidades por paquete.",60.0,Capacillos,Papel,4-2277,7501553422774,52151907,True,False,False
CAPACILLO STD POLKA NEGRO 100pz,"Polka negro de capacidad 100ml en papel biodegradable, ideal para tazas de té o bebidas calientes.",54.0,Capacillos,Papel,4-2709,7501553427090,52151900,True,False,False
CAPACILLO STD POLKA ROSA BABY 100pz,"Polka rosa capacillose de alta calidad para decorar tarjetas, regalos y cartas personales en 100 unidades por paquete.",54.0,Capacillos,Papel,4-2712,7501553427120,52151907,True,False,False
CAPACILLO STD MORADO 100pz,"Papel reciclable y biodegradable para envolver dulces, con un toque morado elegante, ideal para repostería y regalos. 100 unidades por paquete.",54.0,Capacillos,Papel,4-3103,7501553431035,52151907,True,False,False
CAPACILLO STD VERDE 100pz,"Capacillo estándar verde, ideal para decoraciones y festividades, disponible en 100 unidades por paquete.",54.0,Capacillos,Papel,4-3106,7501553431066,52151907,True,False,False
CAPACILLO STD NEGRO METAL 50pz,"Capacillo estándar negro metal, de 50 unidades por paquete, para decoraciones y eventos, fácilmente disminible y recortable.",60.0,Capacillos,Papel,4-2742,7501553427427,52151900,True,False,False
CAPACILLO NO.5 CAFE/PLATA FLORES 250pz,"Café plata flores en papel, disponible en 250 unidades por paquete, perfecto para decorar eventos y fiestas.",130.0,Capacillos,Papel,4-0750,7501553407504,52151907,True,False,False
CAPACILLO PETALO CAFE 100pz,"Delicioso café petalo en bolsas de papel, perfecto para agregar un toque especial a cualquier ocasión.",120.0,Capacillos,Papel,PPR001536,4895217153344,52151900,True,False,False
CAPACILLO MINI COLOR CRUDO PAPEL C/100pz,"Mini capacillos color crudos en papel, perfectos para decorar y crear centros de mesa divertidos y personales. (10 palabras)",85.0,Capacillos,Papel,070896318657,070896318657,52151900,True,False,False
CAPACILLO STD FUTBOL SOCCER PAPEL C/75pz,"Capacillo estándar con estampado del fútbol, ideal para decorar fiestas y eventos deportivos en papel de 75 cm x 50 cm por 75 unidades.",78.0,Capacillos,Papel,415-296,70896452962,52151900,True,False,False
CAPACILLO ROJO CHINO PAQ/1000pz,"Capacillo rojo chino en paquete de 1.000 unidades, ideal para decorar y agregar sabor a tus creaciones de repostería.",225.0,Capacillos,Papel,12006,E L02024,50181709,True,False,False
CAPACILLO ROJO SV 25pz,"Capacillo rojo SV, envuelto en papel higiénico de alta calidad para la limpieza y el cuidado del cuerpo.",30.0,Capacillos,Papel,HGL02024,HGL02025,50181709,True,False,False
CAPACILLO CORRUFACIL ROJO NUM 72 500pz,"Capacillo corrufacil rojo num 72, papel de alta calidad para escritura y dibujo, atractivo y duradero.",110.0,Capacillos,Papel,HGCAP72ROJO,HGCAP72ROJO,50181709,True,False,False
CAPACILLO STD NEGRO 100pz,"Capacillo estándar negro, ideal para decoraciones y recortes, disponible en paquete de 100 unidades.",54.0,Capacillos,Papel,4-2778,7501553427786,52151907,True,False,False
CAPACILLO STD ROSA 100pz,"Capacillo estándar rosado, ideal para decoración y arreglos, 100 piezas por paquete de plástico resistente.",54.0,Capacillos,Papel,4-3102,7501553431028,52151907,True,False,False
CAPACILLO STD AZUL REY 100pz,"Capacillo std azul rey, una deliciosa merienda para niños y adultos, con un sabor auténtico y natural.",54.0,Capacillos,Papel,4-3104,7501553431042,52151907,True,False,False
CAPACILLO STD AZUL 100pz,"""Capacillo estándar azul en papel, ideal para decoraciones y proyectos gráficos, disponible en paquete de 100 unidades.""",54.0,Capacillos,Papel,4-3105,7501553431059,52151907,True,False,False
CAPACILLO STD ROSA PASTEL 100pz,Capacillo estándar rosa pastel en paquetes de 100 unidades para uso estandarizado y uniforme en cualquier aplicación.,54.0,Capacillos,Papel,4-3108,7501553431080,52151907,True,False,False
CAPACILLO STD LILA 100pz,"Capacillo estándar Lila, papel de alta calidad para uso diario y Oficinas, atractivo diseño y bajo peso.",54.0,Capacillos,Papel,4-3109,7501553431097,52151907,True,False,False
CAPACILLO STD AZUL PASTEL 100pz,"Descubre el Capacillo Std Azul Pastel, una paquete de 100 papelinas azules para tus proyectos de diseño y creación.",54.0,Capacillos,Papel,4-3110,7501553431103,52151907,True,False,False
CAPACILLO STD POLKA DOT NARANJA 100pz,"Carcasitas polka dot con naranja, delicioso y divertido para niños y adultos, 100 unidades por paquete.",54.0,Capacillos,Papel,4-2713,7501553427137,52151907,True,False,False
CAPACILLO STD DORADO METÁLICO 50pz,"Dispositivos de captura para papeles, metálicos y plásticos con cinta adhesiva de alta tensión.",64.0,Capacillos,Papel,4-2275,7501553422750,52151907,True,False,False
CAPACILLO MED DORADO 50pz,"Delicioso capacillo medio dorado en papel, perfecto para disfrutar con tu café o té, 50 unidades por pack.",62.0,Capacillos,Papel,4-2722,7501553427229,52151907,True,False,False
CAPACILLO JUMBO 90pz,"Capacillo jumbo, con un sabor dulce y una textura agradable, perfecto para acompañar tus bebidas.",60.0,Capacillos,Papel,HGCAP0043,HGCAP0043,52151907,True,False,False
CAPACILLO STD PLATEADO 80pz,"Capacillo estandarizado, platoado en 80 piezas, perfecto para decoraciones y eventos con un toque de elegancia y sofisticación.",70.0,Capacillos,Papel,HGCAP0042,HGCAP0042,52151900,True,False,False
CAPACILLO STD DORADO 80pz,"Descubre el sabor del dulce Capacillo STD Dorado en formatos de 80 unidades por paquete, perfecto para cualquier ocasión.",70.0,Capacillos,Papel,HGCAP0052,HGCAP0052,52151900,True,False,False
CAPACILLO MED ROJO 500pz,"Capacillo med-rojo para modelado, 500 unidades por paquete, ideal para artesanos y modistas de alta calidad.",60.0,Capacillos,Papel,4-0902,7501553409027,52151907,True,False,False
CAPACILLO CORRUFACIL ROJO NUM 4 PTE 400pz,"Capacillo corrufacil rojo Num 4, papel de alta calidad para escrituras y grabados de 400 piezas por paquete.",55.0,Capacillos,Papel,13602,13602,50181709,True,False,False
CAPACILLO STD CORAZON BCO/ROJO 100pz,"Capacillo estándar corazón BCO, rojo, en paquete de 100 unidades de alta calidad para reposterías.",54.0,Capacillos,Papel,4-3113,7501553431134,52151907,True,False,False
CAPACILLO STD  +x+x+x+x 100pz,"Capacillo estándar en x4, de alta calidad y durabilidad para escribir con precisión y confianza en cualquier papel.",54.0,Capacillos,Papel,4-1944,7501553419446,52151907,True,False,False
CAPACILLO STD DORADO METALICO PAPEL C/24pz,"Capacillo estándar dorado metallic, ideal para decoraciones y presentaciones en eventos, con 24 unidades por paquete.",59.0,Capacillos,Papel,070896415264,070896415264,52151900,True,False,False
CAPACILLO STD PLATEADO METALICO PAPEL C/24pz,"Capacillo estandarizado de plato metálico, ideal para decoraciones y fiestas, disponible en 24 unidades por caja.",59.0,Capacillos,Papel,070896415271,070896415271,52151900,True,False,False
CAPACILLO STD PLATATEADO C/1000pz,"""Capacillo estandarizado platinado en cinta de papel de alta calidad para uso en diversas aplicaciones reposteras.""",720.0,Capacillos,Papel,190353201242,190353201242,52151900,True,False,False
CAPACILLO STD DORADO C/1000pz,"Capacillo std dorado, caramelo con sabor a canela, ideal para decorar postres y dulces, 1000 unidades por paquete.",480.0,Capacillos,Papel,190353201252,190353201252,52151900,True,False,False
CAPACILLO CORRUFACIL BLANCO NUM 4 PTE 400pz,"Capacillo corrufacil blanco en papel, para blanquear y limpiar superficies con facilidad y eficiencia.",55.0,Capacillos,Papel,10066,10066,50181709,True,False,False
CAPACILLO STD ROJO 100pz,"Capacillo estándar rojo, 100 unidades por paquete, ideal para decoración y creación de diseños en artesanías y eventos.",54.0,Capacillos,Papel,4-2310,7501553423108,52151907,True,False,False
CAPACILLO STD POLKA DOT AZUL CIELO 100pz,"Capacillo estándar en forma de polka dots azul cielo, ideal para decorar y crear con papel.",54.0,Capacillos,Papel,4-2707,7501553427076,52151907,True,False,False
CAPACILLO STD POLKA DOT FUCSA 100pz,"Capacillo std polka dot fucsia en papel, pack de 100 unidades, para decorar y regalar con estilo y color.",54.0,Capacillos,Papel,4-2704,7501553427045,52151907,True,False,False
CAPACILLO STD ROJO-ROSA-BLANCO PLISADO PAPEL C/15,"Capacillo estándar en papel plisado de colores rojo, rosa y blanco, ideal para decoraciones y eventos.",26.0,Capacillos,Papel,415-1489,070896514899,52151900,True,False,False
CAPACILLO STD DORADO C/100pz,"Capacillo estándar dorado, con una capa fina y crujiente, perfecto para acompañar tus bebidas y snacks.",103.0,Capacillos,Papel,320-1243,190353201243,52151900,True,False,False
CAPACILLO STD REMOLINO FIESTA C/75pz,"Regalos divertidos y festivos para niños y adultos con capas de chocolate y crema, en forma de remolino.",65.0,Capacillos,Papel,415-7768,070896077684,52151900,True,False,False
CAPACILLO STD CARAMELO C/75pz,"""Deliciosa caramelo de papel de mascar, fácil de llevar y sin grasas, para cualquier momento del día.""",65.0,Capacillos,Papel,415-0-0377,070896093684,52151900,True,False,False
CAPACILLO FELICES FIESTAS C/75pz,"Capacillo Felices Fiestas: delicioso chocolate con relleno de crema y cobertura de azúcar, perfecto para celebrar cualquier ocasión.",65.0,Capacillos,Papel,415-0-0381,070896093721,52151900,True,False,False
CAPACILLO STD ROJO ENCAJE BLANCO C/48pz,"Capacillo estándar rojo encaje blanco, ideal para decoraciones y centros de mesa, 48 unidades por paquete.",134.0,Capacillos,Papel,415-0660,070896006608,52151900,True,False,False
CAPACILLO STD VERDE ENCAJE BLANCO C/48pz,"Capacillo encaje blanco, ideal para bodas y eventos, disponible en caja de 48 unidades.",134.0,Capacillos,Papel,415-0662,070896006622,52151900,True,False,False
CAPACILLO STD UNICORNIO C/75pz,"Bolsita transparente de papel con unicorno coloreado y ""CAPACILLO STD"" en mayúsculas, perfecta para dulces y recuerdos.",70.0,Capacillos,Papel,415-0-0504,070896129864,52151600,True,False,False
CAPACILLO STD COLORES PASTEL PAPEL C/75pz,"Capacillo estándar en colores pastel, papel de alta calidad para artesanías y decoraciones con 75 piezas por pack.",64.0,Capacillos,Papel,415-394,070896153944,52151900,True,False,False
CAPACILLO STD FESTEJO NAVIDAD PAPEL C/100pz,"Capacillo festejoso navideño en papel, para decorar y celebrar la temporada de Navidad con estilo y festividad.",199.0,Capacillos,Papel,415-2370,070896223708,52151900,True,False,False
CAPACILLO STD CINTA CARAMELO COLOR CUPS C/36pz,"Cups de caramelos con cinta color capas, perfectos para decorar y regalar.",100.0,Capacillos,Papel,415-2686,070896226860,52151900,True,False,False
